"iter","n_obs","n_col_nc","z_u_coef","nonlinear_weight","bonf_pval","f_pval","wald_pval","gam_wald.no.p","gam_wald.no.p.smooth.cntrl"
1,10000,10,0,1,0.705154870146225,0.133651878512923,0.146337093860308,0.430824700920118,0.413220935375234
2,10000,10,0,1,2.55689785745805,0.949902006475835,0.949578817170993,0.48991199081176,0.489869586285945
3,10000,10,0,1,0.775085499588774,0.37405334021965,0.391208441690536,0.557858672459105,0.568597700090351
4,10000,10,0,1,1.6967261261345,0.609016224893083,0.613544347157475,0.118616400159511,0.118649797088372
5,10000,10,0,1,0.286570891239344,0.625086974283722,0.588934415917765,0.200866349089305,0.200836461325182
6,10000,10,0,1,3.07645890365775,0.930709330792624,0.932540800357862,0.484566221692605,0.484613757066945
7,10000,10,0,1,0.221202369537418,0.412540074596606,0.414961271494947,0.281956152286306,0.28196542977525
8,10000,10,0,1,0.0205327107965633,0.0351798098720788,0.0363649431220014,0.11312753301522,0.113108953489093
9,10000,10,0,1,0.182920958993726,0.639759464712808,0.628120645421126,0.408588354209923,0.408542349567201
10,10000,10,0,1,1.05175747597794,0.233645522129098,0.248973367206762,0.686350401383217,0.686337431708367
11,10000,10,0,1,1.0952822428546,0.429458299552717,0.420688267812009,0.810513855394399,0.81049946523894
12,10000,10,0,1,0.501088648336873,0.464054953462854,0.444314243102726,0.721484681676464,0.72155955243571
13,10000,10,0,1,0.342258165646931,0.805079191909274,0.799995803490941,0.252847536790239,0.252828852310223
14,10000,10,0,1,1.36324841488779,0.73765525246217,0.743041728921825,0.470569598457339,0.47039325633463
15,10000,10,0,1,0.158337821310362,0.198734679496827,0.186249319113297,0.227977926954663,0.185482533501538
16,10000,10,0,1,0.704278151084397,0.702394696997004,0.691577599575863,0.558685007624525,0.558716100269357
17,10000,10,0,1,0.716214979449063,0.226615369758825,0.208382798113798,0.249293924150634,0.244768264309783
18,10000,10,0,1,0.202007171239616,0.150203942025175,0.141102911964736,0.195702837449143,0.195924587083482
19,10000,10,0,1,0.684491470351624,0.694130593213115,0.703815177147583,0.702923733523014,0.747204565772061
20,10000,10,0,1,0.62004146265195,0.241857556768192,0.247739070976446,0.762733589033759,0.762847189643745
21,10000,10,0,1,0.588327223765379,0.414707657086231,0.433332779755056,0.554429253383491,0.554317478144039
22,10000,10,0,1,1.91535895483983,0.72027638200195,0.709166782469614,0.841437445277339,0.841438855728702
23,10000,10,0,1,1.27132326659279,0.519625483899692,0.508098522300944,0.131226303484988,0.131226461537793
24,10000,10,0,1,1.47083957937998,0.664806769462076,0.685648491015631,0.845200729618791,0.883050241658297
25,10000,10,0,1,2.33850517423358,0.929117421282173,0.932554961117924,0.212386327382585,0.212360344358378
26,10000,10,0,1,0.573821677043374,0.205320454099228,0.213455653150561,0.160351721344807,0.160385269399598
27,10000,10,0,1,1.50685411157368,0.86565607076734,0.857274093029798,0.777783094988311,0.784351994936826
28,10000,10,0,1,0.514441823753356,0.35085246160388,0.345997813113347,0.923307926117087,0.92333156892311
29,10000,10,0,1,0.24497381649304,0.289101234741959,0.278020586386176,0.190543384560875,0.19058235856483
30,10000,10,0,1,2.53110487930593,0.949814622458793,0.950514687980368,0.133448846953505,0.133454446328743
31,10000,10,0,1,2.22927279311334,0.89765832077574,0.893104464115682,0.928147171360983,0.925082809532921
32,10000,10,0,1,0.16067075037295,0.30906425064755,0.305596424542538,0.629913215219506,0.629923173664826
33,10000,10,0,1,1.5098516285231,0.615034333686459,0.610521454200885,0.596679749130617,0.596706866569591
34,10000,10,0,1,0.558819289270946,0.178223098304594,0.186736679709863,0.716399880538189,0.716364966245459
35,10000,10,0,1,0.721600665045517,0.351862164549244,0.364450739528583,0.885143180027285,0.885208420753427
36,10000,10,0,1,0.738680354774479,0.808994697672357,0.794595348969614,0.539228175667474,0.539131793781316
37,10000,10,0,1,0.374394870076009,0.0571471451300172,0.0420512835952775,0.677657148775534,0.677640469319764
38,10000,10,0,1,0.801716162673503,0.61483920606697,0.617401488376524,0.348755839269147,0.348809620941424
39,10000,10,0,1,0.312721915584471,0.523198916072515,0.510343342907012,0.522853173719767,0.523035302850306
40,10000,10,0,1,0.451580725097844,0.387052940419833,0.395775245776198,0.690666117809566,0.690646604635916
41,10000,10,0,1,0.591520922520239,0.648668444963275,0.672109024914348,0.505109813859071,0.505120361397048
42,10000,10,0,1,0.329636742504049,0.601176220672052,0.616927897923337,0.231655271532908,0.229017702664874
43,10000,10,0,1,2.02924038782934,0.820814211896762,0.841892780363292,0.34456305794538,0.344555266193531
44,10000,10,0,1,0.278108670019336,0.249115833536721,0.217439971975069,0.441641245175364,0.441791728352721
45,10000,10,0,1,0.377476545413037,0.185139399107816,0.175781347110425,0.234390500785266,0.234303081707702
46,10000,10,0,1,0.27289647920249,0.164871503719687,0.147946436473827,0.245491455115129,0.245464653794789
47,10000,10,0,1,0.522382668442651,0.315757409476366,0.323270765172794,0.932407687419574,0.932391930782914
48,10000,10,0,1,1.75173528855674,0.551932162946994,0.56084039607932,0.891333902889559,0.891314861989318
49,10000,10,0,1,3.08848141515064,0.967630277421773,0.968250675840254,0.576814136739989,0.576881245314054
50,10000,10,0,1,0.315918361128164,0.558702912262026,0.590269608779,0.351491929309214,0.351597227876672
51,10000,10,0,1,0.977233743981168,0.563601542405855,0.598144060357498,0.485965260819125,0.486007480648385
52,10000,10,0,1,0.550748735467109,0.448629107876533,0.442172869872253,0.301349230827294,0.301344243313429
53,10000,10,0,1,1.47586717140906,0.702276278570384,0.706347903559473,0.616561394991364,0.616522285080165
54,10000,10,0,1,1.96384704340243,0.895742426572249,0.900207607746603,0.359596520382309,0.350123282278292
55,10000,10,0,1,3.62045772532519,0.963631615873769,0.966452162802775,0.512438547957254,0.512348833815882
56,10000,10,0,1,0.631682084110599,0.252679305663779,0.247373201088022,0.483229243631598,0.48311559219696
57,10000,10,0,1,0.40832631333867,0.301118908443401,0.279824313818251,0.73263986869563,0.73257969620499
58,10000,10,0,1,2.2541669091814,0.869677532597132,0.86361866852256,0.528444573798877,0.528353751524469
59,10000,10,0,1,0.604872608046868,0.595588320527976,0.587519717272643,0.547745014220496,0.547739048438743
60,10000,10,0,1,0.16812547658502,0.119414160477552,0.118690293897157,0.766960346310156,0.766846456897285
61,10000,10,0,1,0.0749083146976696,0.0626345307652446,0.0622990497506528,0.485261094720957,0.485258766474977
62,10000,10,0,1,0.592328271990308,0.702571101971716,0.674735737110212,0.277017393771527,0.277015626774986
63,10000,10,0,1,0.923871798608573,0.878620488121842,0.877311460536433,0.0936664998449589,0.0936654116537346
64,10000,10,0,1,0.189325768383033,0.40376534729324,0.421722956878203,0.776257516357787,0.77624378822073
65,10000,10,0,1,1.95344796548984,0.810656247171579,0.822837545532545,0.506623563144808,0.506737979074728
66,10000,10,0,1,0.242471813835918,0.0540568243377699,0.0533220699203207,0.101851268723493,0.101833592272647
67,10000,10,0,1,3.90285619966681,0.996931886907851,0.997271281544845,0.951883411759231,0.944805056159214
68,10000,10,0,1,0.575363877561003,0.307232108975763,0.315567747998678,0.810505329485226,0.810501173178593
69,10000,10,0,1,1.08530580077209,0.760252832720166,0.727176008660108,0.564633862001258,0.564627926943063
70,10000,10,0,1,0.0356420911599458,0.0125837605507178,0.0149929501310093,0.029046010422947,0.0290461088359165
71,10000,10,0,1,1.90171506994312,0.777999402029076,0.775230874308251,0.266324223054999,0.266313370835316
72,10000,10,0,1,0.696490081243122,0.484927906550339,0.503459019379089,0.242701616188776,0.249110675010565
73,10000,10,0,1,1.56161510902472,0.743988572692401,0.75741299155972,0.643239346350488,0.643208263232553
74,10000,10,0,1,0.695931171780536,0.539630255466481,0.525920717508148,0.963346329283051,0.963344845950774
