"iter","n_obs","n_col_nc","z_u_coef","nonlinear_weight","bonf_pval","f_pval","wald_pval","gam_wald.no.p","gam_wald.no.p.smooth.cntrl"
1,10000,10,0,0,3.34728757312329,0.985609303194837,0.986844666636247,0.857253216283932,0.857233865324667
2,10000,10,0,0,0.106263986564429,0.160367632847869,0.157982959213424,0.0836788275123838,0.0662520192231668
3,10000,10,0,0,0.0591502002737511,0.0423118124614679,0.0385685246735085,0.329840273856657,0.329661006039938
4,10000,10,0,0,0.730757888333867,0.225862256272021,0.218356380158377,0.634146784145353,0.63421494854783
5,10000,10,0,0,0.575130868665222,0.308136403589479,0.314893492284686,0.490610111099683,0.455513050133266
6,10000,10,0,0,0.337200169084422,0.282119190392218,0.297402089017134,0.497377229378484,0.505427528967272
7,10000,10,0,0,1.16064759378703,0.616700587032279,0.626849027087661,0.320943580558891,0.320917674934305
8,10000,10,0,0,2.40609906304646,0.982926153509047,0.98399517031237,0.302555618483595,0.302620223385926
9,10000,10,0,0,0.874557900288383,0.304422016912927,0.291818489580409,0.842903146035631,0.842871355400208
10,10000,10,0,0,0.880871714307177,0.729024894084759,0.718450507615533,0.382373444805921,0.382326166088574
11,10000,10,0,0,2.86535826220471,0.973200269025704,0.974105530280685,0.727410827298136,0.727454184875392
12,10000,10,0,0,0.084539256136212,0.127511029624258,0.127084051175278,0.225468827163295,0.225467677559172
13,10000,10,0,0,0.857826740832318,0.519417419438518,0.518109621991886,0.391950980265918,0.411218147257629
14,10000,10,0,0,2.0894311071456,0.775157073045409,0.764295670502386,0.771655193497866,0.77165483611851
15,10000,10,0,0,0.109642599058107,0.177223588073368,0.170132319420472,0.782795989437577,0.776073460231862
16,10000,10,0,0,0.239745236233679,0.0274199049124818,0.0328900540555751,0.152533812483044,0.152489058993164
17,10000,10,0,0,0.0907429659659248,0.10668015036571,0.100716252193109,0.311199518110316,0.311236716041378
18,10000,10,0,0,0.00589490375558839,0.000850814859499329,0.000948817467341434,0.0940912753557219,0.0940990618511894
19,10000,10,0,0,0.188619476687277,0.151631869840886,0.144100026784369,0.10007341856641,0.100073935901139
20,10000,10,0,0,0.040024401108289,0.15493113470671,0.161295706633339,0.542500501602356,0.542546960529962
21,10000,10,0,0,1.14680898209578,0.840252581867347,0.837327642954391,0.364202479402361,0.364217283316506
22,10000,10,0,0,0.495183297355634,0.432286037957356,0.437399974304344,0.610394799503232,0.610383251996443
23,10000,10,0,0,0.319875977846206,0.217737511788807,0.21326104961994,0.0871269600143231,0.0871199094219873
24,10000,10,0,0,0.681341479589636,0.654516632607906,0.671327880946848,0.28804296120836,0.288014774851821
25,10000,10,0,0,1.55688797558263,0.651566365805497,0.664212378904145,0.798840701323734,0.798850446314004
26,10000,10,0,0,1.77813171204078,0.708459619434967,0.720403913890222,0.0454242679854222,0.0454107210474697
27,10000,10,0,0,0.916111931559678,0.75986066279445,0.755429446833027,0.302263063758935,0.302246268811858
28,10000,10,0,0,0.75861860708413,0.334971879483206,0.350801564501655,0.898810858886671,0.898810926311457
29,10000,10,0,0,0.759901340611104,0.490291158826006,0.496520378558077,0.125946026422915,0.125966841824832
30,10000,10,0,0,1.34959800647545,0.755740548204417,0.75551834506384,0.517980499135222,0.517979543151037
31,10000,10,0,0,1.49823498454563,0.642717744552717,0.630715134547469,0.176026663270027,0.176022153273764
32,10000,10,0,0,0.543133664815828,0.612734718083549,0.612953799254373,0.830775376079964,0.83077171471269
33,10000,10,0,0,0.444032947646468,0.382164623973507,0.381965671536401,0.310292199292155,0.310364361330923
34,10000,10,0,0,1.66742986012086,0.866073986832627,0.85329402103024,0.719190800479617,0.719123392035878
35,10000,10,0,0,0.823353483600544,0.211172277197315,0.223078080022465,0.445765713552038,0.445718433145955
36,10000,10,0,0,1.22833089252295,0.573088341085058,0.588787862625797,0.864807440197586,0.864855544757166
37,10000,10,0,0,0.850843826730555,0.590504074131236,0.589226903278063,0.812615346791138,0.812609605090704
38,10000,10,0,0,0.299187771830204,0.437993576603466,0.403301088403383,0.223349504751479,0.223346105692442
39,10000,10,0,0,0.603303409753458,0.485717347304747,0.434848320837247,0.898314032789356,0.898307734722233
40,10000,10,0,0,0.48052358213512,0.711449187265821,0.717741121903551,0.440937140563402,0.440965500143797
41,10000,10,0,0,0.30330320564832,0.56882712232313,0.564692262178196,0.975941234040792,0.975902330145718
42,10000,10,0,0,2.06128940709189,0.754201169559392,0.763758040672525,0.335014545974025,0.335039360823333
43,10000,10,0,0,0.952168561993004,0.269049789924526,0.26980955994769,0.816090426330684,0.816132784787625
44,10000,10,0,0,0.122564506040112,0.550890414407419,0.544959405956816,0.143298163913625,0.14328266687703
45,10000,10,0,0,0.0898745604446275,0.0732218812072679,0.065828358711284,0.333867532157971,0.333919879404573
46,10000,10,0,0,0.728021529283387,0.498069434307504,0.482935634496856,0.92144783473751,0.921461685916912
47,10000,10,0,0,0.481425988613878,0.233818488200454,0.240350542259811,0.0327785846763682,0.0252945786342475
48,10000,10,0,0,0.30300728309392,0.51811061839976,0.550701921992203,0.541111039906254,0.541039530276394
49,10000,10,0,0,0.347155208845272,0.671345927073529,0.683810074412578,0.92763863558058,0.92766436853115
50,10000,10,0,0,0.135238551841807,0.0354197980482901,0.0257183791734967,0.713881196613828,0.717952213959895
51,10000,10,0,0,1.10951040643228,0.569914447114488,0.563943120338532,0.73061942981859,0.730597523375376
52,10000,10,0,0,0.417516889474825,0.247231756056883,0.236752650554244,0.869683697801415,0.881661992407863
53,10000,10,0,0,0.317959477138236,0.314754265217712,0.313521958484645,0.863922129203343,0.86393180580041
54,10000,10,0,0,2.89991257350418,0.96869672266655,0.96834668293983,0.828472248656401,0.82848183958882
55,10000,10,0,0,0.264017613245761,0.135276381032228,0.129283088361459,0.487077803259332,0.486953068872199
56,10000,10,0,0,0.417101215018266,0.108150475858308,0.109948670270455,0.204040787307299,0.204000533489569
57,10000,10,0,0,0.647395809679393,0.557062015887968,0.573919404757451,0.350101219269008,0.350079603729581
58,10000,10,0,0,0.504959262658624,0.483776993575511,0.477964965453575,0.947475681746534,0.94364192570562
59,10000,10,0,0,2.06626404855535,0.790635513845746,0.802529013560919,0.680456577626753,0.680500958975043
60,10000,10,0,0,0.728620199906904,0.743787997786616,0.739136713667418,0.862287206668561,0.862296391249958
61,10000,10,0,0,1.04384119258512,0.517934134115896,0.505162274056418,0.727090223912599,0.726920622832909
62,10000,10,0,0,0.0994539930359266,0.0645515044345419,0.0638328556184952,0.432564829551,0.432550127476644
63,10000,10,0,0,1.15935620828209,0.513842142819837,0.522399665510596,0.896003715014071,0.895996195106872
64,10000,10,0,0,0.113331252429948,0.0861913423964631,0.0847080454381276,0.00161107213146883,0.00161213398306521
65,10000,10,0,0,1.27529251607047,0.369580043040123,0.367622227364883,0.409463164259287,0.409413669131356
66,10000,10,0,0,0.211299266118058,0.171102915385556,0.178890829638308,0.00915192835982892,0.0091497659526678
67,10000,10,0,0,0.202708668622432,0.238785170964488,0.245114528277555,0.503115698043441,0.503091671907376
68,10000,10,0,0,3.16345514107012,0.983810528049122,0.98301719412837,0.155151589403567,0.155211576873189
69,10000,10,0,0,1.75750099799268,0.91585528696919,0.918220615659681,0.443273887022299,0.44329145780596
70,10000,10,0,0,0.157510251214328,0.142787132585464,0.154283564554633,0.106509846384347,0.106562866232374
71,10000,10,0,0,1.25538317476132,0.652977477294466,0.660841681081257,0.500445395425095,0.522685027204229
72,10000,10,0,0,0.818926333740022,0.701499281015227,0.701184274606141,0.788384169431069,0.78838095988687
73,10000,10,0,0,0.0742241543675355,0.00411516833900042,0.00334130051003412,0.276332140397798,0.276254826445692
74,10000,10,0,0,0.157869883450224,0.302008961885911,0.284009849948745,0.887718485695913,0.890027124743067
75,10000,10,0,0,0.608297824324814,0.142078658154315,0.139081878200166,0.149473800497909,0.149547755572947
76,10000,10,0,0,0.22234753601812,0.409249375202998,0.391482523364271,0.428367270656334,0.428305672087349
77,10000,10,0,0,0.237881879352301,0.472623555190172,0.466157104764796,0.273078854284347,0.273034838738681
78,10000,10,0,0,0.242668286192214,0.588591362877045,0.606260025986093,0.462185606064944,0.462220950414916
79,10000,10,0,0,1.22573066837405,0.629615660548947,0.641901134796708,0.574600654816348,0.536819657462713
80,10000,10,0,0,1.09423609434995,0.74880666097979,0.718799895155103,0.126527198275315,0.12122032516695
81,10000,10,0,0,0.852811006724249,0.494246306914679,0.505398637482262,0.562777440711018,0.562839002534241
82,10000,10,0,0,0.235871663478644,0.367446700821276,0.376418016569941,0.360522240125639,0.382035645503279
83,10000,10,0,0,1.18131713384412,0.30032213603894,0.296666895972534,0.4457846339786,0.44575778754969
84,10000,10,0,0,0.102577203803468,0.0443972534200569,0.0447538480474583,0.987886989854631,0.98889956943356
85,10000,10,0,0,0.0117462841707027,0.083142143607825,0.0747306066254053,0.607194673590394,0.607203723712332
86,10000,10,0,0,0.0636424138292143,0.467200918639828,0.485122611814317,0.586446162623913,0.586452622482417
87,10000,10,0,0,0.427117299848455,0.116785160768824,0.126229168271653,0.289750218598483,0.28973012916687
88,10000,10,0,0,1.7644614148254,0.927555798027948,0.931542100633011,0.974055979831406,0.974056352547531
89,10000,10,0,0,2.43070605590977,0.895273605957801,0.891515075566936,0.54319928136961,0.543282021065199
90,10000,10,0,0,0.224715116581909,0.390196217341449,0.382864579060026,0.768756796427911,0.768728133024029
91,10000,10,0,0,0.405428679756042,0.0831315811383793,0.0859747206863495,0.188792575230737,0.188724384182241
92,10000,10,0,0,0.188197527397951,0.269685664680959,0.282965292508335,0.482749720325906,0.48290575011501
93,10000,10,0,0,0.401263670721706,0.53039561038776,0.553303607586881,0.0802737482666511,0.0802680493429224
94,10000,10,0,0,0.865695485753777,0.58857484597764,0.55419312028433,0.785313339398867,0.785222655259516
95,10000,10,0,0,1.67221482042057,0.944578373682605,0.941212894102683,0.986409632083275,0.986409350594446
96,10000,10,0,0,0.960755480662994,0.762186155100358,0.754434163916681,0.393401382670389,0.393379249124572
97,10000,10,0,0,0.464586048798779,0.440413291583884,0.42420143666554,0.835084848051705,0.835123898742917
98,10000,10,0,0,0.232075697725257,0.509538342226383,0.535499378213569,0.235970298835232,0.235952411609077
99,10000,10,0,0,0.655261407634793,0.616966581782192,0.632906707395327,0.252894264516577,0.252789970369436
100,10000,10,0,0,0.136274337556898,0.176522882200457,0.177144180166618,0.241116007457886,0.241121766627547
1,10000,10,0,0,3.13945089324656,0.888658622854605,0.87559889613428,0.766542943520364,0.766487889107584
2,10000,10,0,0,1.46036179770491,0.678665766996691,0.680973749614065,0.572475198234864,0.572466794145988
3,10000,10,0,0,0.913382602678077,0.645301370082222,0.675864653362212,0.779974669194145,0.780000944897667
4,10000,10,0,0,0.594622844861615,0.211790764380718,0.237811859172737,0.26180322692192,0.261632022512938
5,10000,10,0,0,0.857156947988834,0.636889297584687,0.644256603940395,0.700580543372403,0.677266359809287
6,10000,10,0,0,0.85308496897503,0.361000224075032,0.395946597625899,0.557315491378979,0.557349226004223
7,10000,10,0,0,0.0130990577679353,0.00070363237145906,0.000683958363911552,0.0397431792534553,0.0397343512866637
8,10000,10,0,0,0.96735110635152,0.468197041948045,0.464836876941497,0.560027648692086,0.559723071070123
9,10000,10,0,0,0.566173970198454,0.778688500188654,0.780574860076159,0.0821678174418218,0.0752189674951331
10,10000,10,0,0,0.173446952499102,0.0712286236835663,0.0688192963116824,0.106949073333116,0.106951143517714
11,10000,10,0,0,1.08016678932788,0.423337424117084,0.395853224836946,0.426689532474513,0.42722465646447
12,10000,10,0,0,0.419783608544314,0.316447202255075,0.272454917040446,0.676911187074572,0.676904911955189
13,10000,10,0,0,0.176181744148192,0.134065420435355,0.144890084292371,0.414878452577309,0.414867366078359
14,10000,10,0,0,3.50564457278539,0.934473442867406,0.931339741385271,0.964127079235078,0.963335893450828
15,10000,10,0,0,0.392396600415903,0.31916746341238,0.316845753132181,0.684790984547106,0.684824435676941
16,10000,10,0,0,1.7256784538746,0.895930312886759,0.898479598632786,0.940863708683145,0.940845487131105
17,10000,10,0,0,0.581046735393974,0.341338040759117,0.344162997996475,0.656903866649742,0.671107400964936
18,10000,10,0,0,0.115420981412106,0.140087671850813,0.124257029333982,0.249691128984669,0.24974911468774
19,10000,10,0,0,0.0955058814051543,0.218005059888671,0.199024597122136,0.624081247026833,0.624178111016403
20,10000,10,0,0,0.104937580976212,0.565555604684106,0.54961346617362,0.466595314192017,0.466605876648629
21,10000,10,0,0,1.62430051359166,0.82348107002037,0.824758236074314,0.935111690094972,0.937002385104246
22,10000,10,0,0,1.1595150893107,0.668652599470281,0.642360528514856,0.732412376600323,0.73232188776078
23,10000,10,0,0,1.57955841287541,0.859893290209562,0.857429567939079,0.743528534567926,0.743627245991294
24,10000,10,0,0,0.097379170211578,0.442173418312701,0.464770813627079,0.479708309956013,0.479607874632081
25,10000,10,0,0,0.996653690099745,0.35732812588577,0.351798674291004,0.132798609446041,0.132818958737039
26,10000,10,0,0,1.55787036266779,0.73648529018026,0.738175005493571,0.250107114218284,0.250129942792703
27,10000,10,0,0,3.27023388236176,0.996623930112057,0.996391378181037,0.538623316783041,0.538557370656767
28,10000,10,0,0,0.567346494125904,0.379717912601968,0.367506102019056,0.336824500875225,0.336823676555646
29,10000,10,0,0,0.739474988518792,0.600186581157724,0.596354188487717,0.11987220621009,0.119743275841352
30,10000,10,0,0,0.400109284270969,0.0653718304459631,0.0581964245774371,0.897876787020925,0.897882257353856
31,10000,10,0,0,1.80538513092587,0.618786451980319,0.614091419176414,0.392825666097541,0.392756982409155
32,10000,10,0,0,0.350570789119812,0.272565039266452,0.302226673621367,0.39127720632898,0.391284296749905
33,10000,10,0,0,1.26664652196771,0.853541333699726,0.844783014542514,0.693087729665799,0.693090336476879
34,10000,10,0,0,0.450432015572027,0.173924706573122,0.161602573472519,0.527183770661325,0.52718621261033
35,10000,10,0,0,0.644829066215605,0.404919989320132,0.378908203215237,0.244955068401878,0.245039906646808
36,10000,10,0,0,0.717334608341248,0.705041166015966,0.695564583094243,0.355396432297016,0.355444368590607
37,10000,10,0,0,1.17884007022765,0.528933207107516,0.54357610627168,0.658349559448822,0.658275352066159
38,10000,10,0,0,0.178109887282087,0.315395716353189,0.324186301283151,0.810551199958112,0.810508968105586
39,10000,10,0,0,0.392191272719391,0.29352131188452,0.283290246330281,0.148256610258754,0.148273154319991
40,10000,10,0,0,0.827591675810425,0.749988888189418,0.769842323256067,0.49045896496167,0.490352370652554
