"iter","n_obs","n_col_nc","z_u_coef","nonlinear_weight","bonf_pval","f_pval","wald_pval","gam_wald.no.p","gam_wald.no.p.smooth.cntrl","kci_pval","itp_ftest_pval","idp_wilcox_pval","cntrl_observed"
1,10000,10,0,0,3.34728757312329,0.985609303194837,0.986844666636247,0.857253216283932,0.857233865324667,NA,NA,NA,TRUE
2,10000,10,0,0,0.106263986564429,0.160367632847869,0.157982959213424,0.0836788275123838,0.0662520192231668,NA,NA,NA,TRUE
3,10000,10,0,0,0.0591502002737511,0.0423118124614679,0.0385685246735085,0.329840273856657,0.329661006039938,NA,NA,NA,TRUE
4,10000,10,0,0,0.730757888333867,0.225862256272021,0.218356380158377,0.634146784145353,0.63421494854783,NA,NA,NA,TRUE
5,10000,10,0,0,0.575130868665222,0.308136403589479,0.314893492284686,0.490610111099683,0.455513050133266,NA,NA,NA,TRUE
6,10000,10,0,0,0.337200169084422,0.282119190392218,0.297402089017134,0.497377229378484,0.505427528967272,NA,NA,NA,TRUE
7,10000,10,0,0,1.16064759378703,0.616700587032279,0.626849027087661,0.320943580558891,0.320917674934305,NA,NA,NA,TRUE
8,10000,10,0,0,2.40609906304646,0.982926153509047,0.98399517031237,0.302555618483595,0.302620223385926,NA,NA,NA,TRUE
9,10000,10,0,0,0.874557900288383,0.304422016912927,0.291818489580409,0.842903146035631,0.842871355400208,NA,NA,NA,TRUE
10,10000,10,0,0,0.880871714307177,0.729024894084759,0.718450507615533,0.382373444805921,0.382326166088574,NA,NA,NA,TRUE
11,10000,10,0,0,2.86535826220471,0.973200269025704,0.974105530280685,0.727410827298136,0.727454184875392,NA,NA,NA,TRUE
12,10000,10,0,0,0.084539256136212,0.127511029624258,0.127084051175278,0.225468827163295,0.225467677559172,NA,NA,NA,TRUE
13,10000,10,0,0,0.857826740832318,0.519417419438518,0.518109621991886,0.391950980265918,0.411218147257629,NA,NA,NA,TRUE
14,10000,10,0,0,2.0894311071456,0.775157073045409,0.764295670502386,0.771655193497866,0.77165483611851,NA,NA,NA,TRUE
15,10000,10,0,0,0.109642599058107,0.177223588073368,0.170132319420472,0.782795989437577,0.776073460231862,NA,NA,NA,TRUE
16,10000,10,0,0,0.239745236233679,0.0274199049124818,0.0328900540555751,0.152533812483044,0.152489058993164,NA,NA,NA,TRUE
17,10000,10,0,0,0.0907429659659248,0.10668015036571,0.100716252193109,0.311199518110316,0.311236716041378,NA,NA,NA,TRUE
18,10000,10,0,0,0.00589490375558839,0.000850814859499329,0.000948817467341434,0.0940912753557219,0.0940990618511894,NA,NA,NA,TRUE
19,10000,10,0,0,0.188619476687277,0.151631869840886,0.144100026784369,0.10007341856641,0.100073935901139,NA,NA,NA,TRUE
20,10000,10,0,0,0.040024401108289,0.15493113470671,0.161295706633339,0.542500501602356,0.542546960529962,NA,NA,NA,TRUE
21,10000,10,0,0,1.14680898209578,0.840252581867347,0.837327642954391,0.364202479402361,0.364217283316506,NA,NA,NA,TRUE
22,10000,10,0,0,0.495183297355634,0.432286037957356,0.437399974304344,0.610394799503232,0.610383251996443,NA,NA,NA,TRUE
23,10000,10,0,0,0.319875977846206,0.217737511788807,0.21326104961994,0.0871269600143231,0.0871199094219873,NA,NA,NA,TRUE
24,10000,10,0,0,0.681341479589636,0.654516632607906,0.671327880946848,0.28804296120836,0.288014774851821,NA,NA,NA,TRUE
25,10000,10,0,0,1.55688797558263,0.651566365805497,0.664212378904145,0.798840701323734,0.798850446314004,NA,NA,NA,TRUE
26,10000,10,0,0,1.77813171204078,0.708459619434967,0.720403913890222,0.0454242679854222,0.0454107210474697,NA,NA,NA,TRUE
